pair,i,j,c_ij,model,SSE1,SSE2,SSE3,ok2,ok3
1003,10,3,38,1,.0000554537045571,,,0,0
1004,10,4,38,1,.0001305831777178,,,0,0
1005,10,5,38,1,.0012806729923493,,,0,0
1006,10,6,38,1,.0000359281709294,,,0,0
1007,10,7,9.5,1,.0003835803888626,,,0,0
1008,10,8,38,1,.0015188038140146,,,0,0
1009,10,9,19,1,.000224279051232,,,0,0
1010,10,10,38,1,.0217155871891027,,,0,0
1011,10,11,38,1,.0001558424056235,,,0,0
1012,10,12,38,1,.0002174421357188,,,0,0
1013,10,13,38,1,.0008080729278655,,,0,0
1014,10,14,38,1,.0004788564848071,,,0,0
1015,10,15,38,1,.0016457065676275,,,0,0
1016,10,16,38,1,.0000649865004317,,,0,0
1017,10,17,38,1,.0000826775182258,,,0,0
1018,10,18,19,1,.0000729572654269,,,0,0
1101,11,1,38,1,.00005299713513,,,0,0
1102,11,2,38,1,.0141577396367669,,,0,0
1103,11,3,38,1,.0000793183070805,,,0,0
1104,11,4,38,1,.0001651132329521,,,0,0
1105,11,5,38,1,.0018984015111727,,,0,0
1106,11,6,38,1,.0025082471996025,,,0,0
1107,11,7,2.111111111111111,1,.0078657185752431,,,0,0
1108,11,8,19,1,.0043189321072949,,,0,0
1109,11,9,38,1,.0002593715056401,,,0,0
1110,11,10,9.5,1,.0007525753432003,,,0,0
1111,11,11,38,1,.0707049463923481,,,0,0
1112,11,12,38,1,.0003740973440977,,,0,0
1113,11,13,19,1,.0012099323681705,,,0,0
1114,11,14,38,1,.0012149957829311,,,0,0
1115,11,15,38,1,.0072576189727837,,,0,0
1116,11,16,12.66666666666667,1,.0004169857048261,,,0,0
1117,11,17,38,1,.0025106164630438,,,0,0
1118,11,18,38,1,.0017043887556214,,,0,0
1201,12,1,38,1,.0000138956090159,,,0,0
1202,12,2,38,1,.0000241953473977,,,0,0
1203,12,3,19,1,2.26303714134e-06,,,0,0
1204,12,4,38,1,3.04797751472e-06,,,0,0
1205,12,5,38,1,6.07267341819e-06,,,0,0
